fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0661,0.9581,0.175,,,,umap-logistic,0.0,0
0.0747,0.955,0.1802,0.0841,0.9452,0.203,umap-logistic,0.3,0
0.0714,0.9559,0.1786,0.0783,0.9479,0.1941,umap-logistic,0.3,1
0.0761,0.9556,0.1789,0.0862,0.9443,0.2021,umap-logistic,0.3,2
0.0731,0.9546,0.1807,0.0787,0.9494,0.1971,umap-logistic,0.3,3
0.0776,0.953,0.1841,0.0794,0.95,0.1902,umap-logistic,0.3,4
0.1923,0.9145,0.2717,0.2152,0.8878,0.3046,umap-logistic,0.6,0
0.2043,0.9037,0.2837,0.2237,0.881,0.3119,umap-logistic,0.6,1
0.1701,0.9425,0.2415,0.1904,0.9171,0.2738,umap-logistic,0.6,2
0.1882,0.9229,0.2644,0.206,0.8994,0.2901,umap-logistic,0.6,3
0.1882,0.9216,0.2648,0.2023,0.9067,0.2864,umap-logistic,0.6,4
0.2346,0.921,0.288,0.3252,0.7801,0.4038,umap-logistic,0.9,0
0.2493,0.9021,0.3028,0.3377,0.7584,0.4153,umap-logistic,0.9,1
0.2314,0.9234,0.2846,0.3228,0.78,0.4032,umap-logistic,0.9,2
0.2378,0.9194,0.2903,0.323,0.7866,0.399,umap-logistic,0.9,3
0.2665,0.8805,0.323,0.3671,0.7114,0.4453,umap-logistic,0.9,4
