fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.063,0.9639,0.1644,,,,vae-2layer,0.0,0
0.0653,0.964,0.1639,0.0783,0.9471,0.1969,vae-2layer,0.3,0
0.0711,0.9638,0.1667,0.0822,0.9484,0.1938,vae-2layer,0.3,1
0.0708,0.9649,0.1635,0.0852,0.947,0.1975,vae-2layer,0.3,2
0.0706,0.9639,0.1645,0.082,0.9501,0.1961,vae-2layer,0.3,3
0.0631,0.9645,0.1633,0.0711,0.9512,0.1876,vae-2layer,0.3,4
0.0665,0.9649,0.1616,0.0835,0.945,0.2027,vae-2layer,0.6,0
0.061,0.9676,0.1548,0.0809,0.9454,0.2029,vae-2layer,0.6,1
0.0671,0.9675,0.1572,0.0857,0.9431,0.2044,vae-2layer,0.6,2
0.0628,0.9672,0.1566,0.0803,0.945,0.2013,vae-2layer,0.6,3
0.0635,0.9673,0.1581,0.08,0.9466,0.2015,vae-2layer,0.6,4
0.0528,0.9773,0.1309,0.1161,0.9091,0.2686,vae-2layer,0.9,0
0.055,0.9752,0.1359,0.1189,0.9082,0.2699,vae-2layer,0.9,1
0.0427,0.9823,0.1207,0.1147,0.9052,0.279,vae-2layer,0.9,2
0.0427,0.9841,0.118,0.1106,0.9081,0.2716,vae-2layer,0.9,3
0.0482,0.9791,0.1302,0.1111,0.9097,0.2677,vae-2layer,0.9,4
