fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.0967,0.9316,0.2242,,,,vae-logistic,0.0,0
0.105,0.9266,0.235,0.1083,0.9232,0.2429,vae-logistic,0.3,0
0.1352,0.9069,0.2642,0.14,0.9015,0.271,vae-logistic,0.3,1
0.0936,0.9355,0.2196,0.1019,0.9275,0.2353,vae-logistic,0.3,2
0.1268,0.91,0.2579,0.1276,0.9109,0.2599,vae-logistic,0.3,3
0.132,0.909,0.2622,0.13,0.9119,0.2596,vae-logistic,0.3,4
0.0562,0.9603,0.179,0.0703,0.9424,0.2149,vae-logistic,0.6,0
0.1303,0.9108,0.2579,0.1374,0.9046,0.269,vae-logistic,0.6,1
0.0483,0.965,0.1704,0.0672,0.9413,0.2192,vae-logistic,0.6,2
0.1227,0.9153,0.2505,0.1261,0.9123,0.257,vae-logistic,0.6,3
0.1035,0.9281,0.2319,0.1065,0.9222,0.2394,vae-logistic,0.6,4
0.0608,0.9664,0.1676,0.0993,0.9189,0.2539,vae-logistic,0.9,0
0.0958,0.9437,0.2058,0.1284,0.9067,0.2661,vae-logistic,0.9,1
0.0583,0.9693,0.1642,0.0994,0.9194,0.2565,vae-logistic,0.9,2
0.0427,0.9734,0.1516,0.0872,0.9229,0.2562,vae-logistic,0.9,3
0.0398,0.9766,0.1458,0.097,0.9114,0.2741,vae-logistic,0.9,4
